price;description;slug
325,000,000;Toyota Kijang Innova 2.0 G Mini Bus Hitam Otomatis Bensin 2021 Kota Medan Sumatera Utara;toyota-20-g-kijang-innova-2021-01
135,000,000;Nissan Livina X-GEAR 1.5 MPV Silver Metalik Otomatis Bensin 2018 Kota Medan Sumatera Utara;nissan-x-gear-15-livina-2018-02
248,000,000;Toyota Raize 1.0 GR Turbo MPV Biru Otomatis Bensin 2022 Kota Tangerang Banten;toyota-10-gr-turbo-raize-2022-03
189,000,000;Daihatsu Rocky 1.0 R TC Mini Bus Orange Manual Bensin 2021 Kota Jakarta Selatan Dki Jakarta;daihatsu-10-r-tc-rocky-2021-04
130,000,000;Daihatsu Ayla 1.2 R City Car Abu-abu Metalik Manual Bensin 2022 Kota Medan Sumatera Utara;daihatsu-12-r-ayla-2022-05
113,000,000;Honda Freed 1.5 E MPV Abu-abu Metalik Otomatis Bensin 2009 Kota Medan Sumatera Utara;honda-15-e-freed-2009-06
242,000,000;Toyota Veloz 1.5 Q Mini Bus Hitam Metalik Otomatis Bensin 2022 Kota Tangerang Banten;toyota-15-q-veloz-2022-07
202,000,000;Toyota Rush 1.5 G SUV Hitam Metalik Otomatis Bensin 2019 Kota Jakarta Selatan Dki Jakarta;toyota-15-g-rush-2019-08
143,000,000;Honda Brio 1.2 RS CVT City Car Abu-abu Tua Metalik Manual Bensin 2018 Kota Depok Jawa Barat;honda-12-rs-cvt-brio-2018-09
173,000,000;Honda Brio 1.2 RS CKD Mini Bus Abu-abu Metalik Manual Bensin 2021 Kota Jakarta Selatan Dki Jakarta;honda-12-rs-ckd-brio-2021-10
188,000,000;Mitsubishi Xpander 1.5 GLS SUV Hitam Otomatis Bensin 2019 Kota Tangerang Banten;mitsubishi-15-gls-xpander-2019-11
189,000,000;Daihatsu Terios 1.5 R MPV Hitam Metalik Otomatis Bensin 2018 Kota Jakarta Barat Dki Jakarta;daihatsu-15-r-terios-2018-12
257,000,000;Honda BR-V 1.5 Prestige MPV Putih Mutiara Otomatis Bensin 2022 Kota Tangerang Banten;honda-15-prestige-br-v-2022-13
232,000,000;Daihatsu Terios 1.5 R SUV Hitam Otomatis Bensin 2022 Kota Jakarta Barat Dki Jakarta;daihatsu-15-r-terios-2022-14
106,000,000;Honda Brio 1.2 Satya E City Car Merah Metalik Manual Bensin 2015 Kota Depok Jawa Barat;honda-12-satya-e-brio-2015-15
118,000,000;Toyota Agya G 1.2 City Car Hitam Manual Bensin 2018 Kota Medan Sumatera Utara;toyota-g-12-agya-2018-16
215,000,000;Daihatsu All New Xenia 1.5 R ASA MPV Abu-abu Metalik Otomatis Bensin 2022 Kota Jakarta Barat Dki Jakarta;daihatsu-15-r-asa-all-new-xenia-2022-17
215,000,000;Honda Jazz 1.5 RS City Car Merah Manual Bensin 2019 Kota Semarang Jawa Tengah;honda-15-rs-jazz-2019-18
177,000,000;Honda Mobilio 1.5 E MPV Putih Otomatis Bensin 2019 Kota Tangerang Banten;honda-15-e-mobilio-2019-19
137,000,000;Honda Brio 1.2 Satya E City Car Abu-abu Otomatis Bensin 2018 Kota Depok Jawa Barat;honda-12-satya-e-brio-2018-20
